threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.8833333333333332,0.02108185106778921
1.0,1386.485,1.2921977402859053,0.89,0.030000000000000023
2.0,1384.83,2.9901672194042925,0.8949999999999999,0.02818589087547963
3.0,1382.31,4.604769266749421,0.8866666666666667,0.029627314724385304
4.0,1379.61,6.210305950595348,0.885,0.01699673171197594
5.0,1376.35,7.920700726577163,0.8899999999999999,0.02438123139721299
6.0,1372.685,9.629422360661101,0.8799999999999999,0.025055493963954855
7.0,1368.52,11.194623709620615,0.8833333333333332,0.015811388300841885
8.0,1364.385,12.680172514599318,0.8800000000000001,0.021473497877875204
9.0,1359.865,14.050863852446938,0.8966666666666667,0.022730302828309755
10.0,1354.585,15.506539749408956,0.8949999999999999,0.023921166824012203
11.0,1349.115,16.97680108265394,0.8899999999999999,0.02603416558635553
12.0,1343.635,18.067699770585076,0.89,0.030912061651652365
13.0,1337.42,20.099094506967223,0.8916666666666666,0.023570226039551587
14.0,1331.09,21.76768017038104,0.8899999999999999,0.019293061504650363
15.0,1325.125,23.664728500449776,0.8883333333333333,0.025055493963954865
