threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.8699999999999999,0.038224483137265744
5.0,1376.35,7.920700726577163,0.8766666666666666,0.04358898943540674
10.0,1354.585,15.506539749408956,0.8800000000000001,0.04333333333333335
15.0,1325.125,23.664728500449776,0.8733333333333333,0.03431876713662334
20.0,1290.915,32.82419496347168,0.875,0.04503085362035433
25.0,1252.725,45.035978672612416,0.8800000000000001,0.03749073959733999
30.0,1213.755,56.77336501388658,0.8816666666666666,0.04453463071962461
35.0,1176.56,64.88178789151853,0.885,0.03628590176179542
40.0,1140.395,70.74792558796335,0.8716666666666667,0.03965125751123441
45.0,1103.56,75.659476604058,0.8716666666666667,0.04847679857416328
50.0,1066.535,81.12249241116794,0.8766666666666666,0.05201495511442409
65.0,965.925,107.47385437863481,0.8783333333333333,0.04490731195102494
70.0,941.545,123.3312530342573,0.8699999999999999,0.03749073959733999
75.0,925.1,138.0105068463992,0.865,0.04515405728048022
80.0,916.49,148.85623903619225,0.8583333333333334,0.04216370213557839
85.0,912.74,155.05180553608528,0.8700000000000001,0.03711842908553348
90.0,911.82,157.19070455977987,0.8699999999999999,0.0382244831372657
95.0,911.62,157.70011287250242,0.8699999999999999,0.0382244831372657
100.0,911.62,157.70011287250242,0.8699999999999999,0.0382244831372657
