threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.8905,0.018601075237738254
5.0,1376.683,7.845030975082252,0.893,0.009924716620639597
6.0,1372.9885,9.592933219302633,0.8985,0.013656500283747675
7.0,1368.97,11.252959610697978,0.901,0.014966629547095793
8.0,1364.8255,12.74390245372272,0.9015000000000001,0.017073371078963867
9.0,1360.2145,14.26700703546473,0.8985,0.010559356040971472
10.0,1355.0365,15.74303553162477,0.905,0.011726039399558607
11.0,1349.539,17.424507998792965,0.8985,0.014713938969562147
12.0,1343.7805,18.765535424016015,0.9015000000000001,0.011575836902790253
13.0,1337.686,20.452906981649335,0.8995000000000001,0.013820274961085252
14.0,1331.335,21.976505067912868,0.8995000000000001,0.017131841699011822
15.0,1325.0455,23.621080198627666,0.8975000000000002,0.013416407864998746
20.0,1290.295,33.89970464473105,0.898,0.013171939872319495
25.0,1252.0375,45.98368290763584,0.8965,0.01593737745050922
30.0,1211.986,57.649725099084385,0.901,0.010074720839804948
35.0,1174.162,64.98862020384799,0.897,0.014177446878757813
40.0,1138.279,70.3539562427018,0.8855000000000001,0.01592168332809063
45.0,1102.267,74.63630290280997,0.899,0.020832666655999643
50.0,1066.3045,79.03313089932601,0.8905,0.016155494421403533
55.0,1030.1005,85.24743632362207,0.8955,0.020211382931407732
60.0,995.851,93.25331521720823,0.893,0.019065675964937613
65.0,966.6085,106.0691341896878,0.8905000000000001,0.01698528775146301
70.0,942.334,122.46416391744975,0.8865000000000001,0.014282856857085705
75.0,925.567,138.0931081227445,0.8885,0.0210119013894507
80.0,916.402,149.8180309442091,0.8815,0.014713938969562159
85.0,912.601,156.27156106918494,0.884,0.012409673645990838
90.0,911.674,158.35535268502923,0.884,0.01521512405470294
95.0,911.4265,159.01039776615238,0.8829999999999998,0.014525839046333934
