threshold,mean_leaves,std_leaves,cv_accuracy_mean,cv_accuracy_std
0.0,1387.0,0.0,0.8785000000000001,0.00916515138991165
5.0,1368.817,9.680418947545606,0.8675,0.017464249196572978
10.0,1337.665,19.419288735687516,0.8664999999999999,0.012609520212918491
15.0,1299.292,28.329961807245702,0.8675,0.015572411502397424
20.0,1255.6195,37.10769084367821,0.8815,0.01554027026792005
25.0,1209.5545,44.65038666965831,0.8815,0.018748333259252674
30.0,1162.249,50.067574327103166,0.876,0.00930053761886914
35.0,1116.0055,54.7950314330597,0.8835,0.013000000000000008
40.0,1070.017,58.408164763156186,0.883,0.015443445211480498
45.0,1021.636,61.73997492710861,0.885,0.010954451150103317
50.0,970.9825,63.667622805865776,0.8865000000000001,0.010793516572461434
55.0,917.686,66.27170138150974,0.8865000000000001,0.013472193585307473
60.0,863.26,68.66970511076919,0.8885,0.014713938969562163
65.0,805.8385,70.16726029816185,0.8855000000000001,0.012589678312014154
70.0,743.7985,70.52010988186277,0.889,0.011022703842524302
71.0,730.9375,70.35155715227631,0.8939999999999999,0.008602325267042623
72.0,719.0485,70.08685431484281,0.892,0.01077032961426901
73.0,706.153,69.56943719047898,0.892,0.005787918451395116
74.0,692.9305,68.83430590737441,0.8925000000000001,0.007245688373094741
75.0,679.276,68.33276537650147,0.892,0.0069641941385920406
76.0,665.5945,67.75897040060453,0.884,0.007681145747868595
78.0,636.8995,66.22539089918608,0.8865000000000001,0.0058309518948453055
79.0,623.3155,65.16647880429016,0.8855000000000001,0.015443445211480495
80.0,608.2555,64.19827271624993,0.8875,0.007071067811865481
85.0,526.1605,58.4171442279576,0.885,0.018165902124584965
90.0,425.905,50.98056467910099,0.8745,0.01971040334442701
95.0,290.8105,40.745510056323994,0.8655000000000002,0.02342007685726074
100.0,25.1905,10.668139938620977,0.778,0.019196353820452483
